Date,sp500,dtb3,aig,ibm,ford,xom
2000-06-27,1450.55,5.67,1213.0745,76.900055,14.344067,24.786627
2000-06-28,1454.8199,5.65,1225.6169,79.724663,14.720436,24.805494
2000-06-29,1442.39,5.68,1243.5598,79.877953,15.061436,24.527061
2000-06-30,1454.6,5.71,1194.0205,76.768692,14.974376,23.710587
2000-07-03,1469.54,5.75,1204.1826,76.724884,15.30085,24.02677
2000-07-05,1446.23,5.82,1225.7762,73.571793,15.605569,23.238649
2000-07-06,1456.67,5.85,1216.2499,70.944244,16.127926,23.616209
2000-07-07,1478.9,5.87,1237.2085,73.615608,16.106167,23.7153
2000-07-10,1475.62,5.9,1235.3032,72.389404,16.280281,23.597321
2000-07-11,1480.88,5.93,1234.0327,71.469757,16.650293,24.333561
2000-07-12,1492.92,5.99,1233.3981,73.309059,16.824408,23.743599
2000-07-13,1495.84,6,1221.9666,72.871094,16.78088,23.55957
2000-07-14,1509.98,5.99,1218.1554,72.827316,16.541464,23.427431
2000-07-17,1510.49,5.98,1213.0745,73.92215,16.138792,23.786104
2000-07-18,1493.74,5.98,1211.1687,72.389404,16.345577,23.616209
2000-07-19,1481.96,6,1211.8037,76.199371,16.519695,23.767216
2000-07-20,1495.5699,6,1238.479,82.155174,16.497929,23.597321
2000-07-21,1480.1899,5.95,1201.0071,80.403458,16.497929,23.295277
2000-07-24,1464.29,5.98,1211.8037,78.826935,16.608511,23.333038
2000-07-25,1474.47,6.02,1257.5321,78.47657,16.785904,22.766697
2000-07-26,1452.42,6,1268.9647,76.987617,16.586334,23.012108
2000-07-27,1449.62,6.04,1318.5039,77.294189,16.675037,24.314684
2000-07-28,1419.89,6.02,1303.8958,78.345222,16.364595,24.163658
2000-07-31,1430.83,6.03,1336.6045,78.651756,16.519815,24.220291
2000-08-01,1438.1,6.07,1341.3677,77.425568,16.630682,24.163658
2000-08-02,1438.7,6.07,1307.0718,80.053116,16.519815,25.03203
2000-08-03,1452.5601,6.05,1318.5039,81.279327,18.141768,24.597858
2000-08-04,1462.9301,6.05,1350.8948,81.19175,18.064247,24.678068
2000-08-07,1479.3199,6.06,1356.6108,81.498291,18.103008,24.432671
2000-08-08,1482.8,6.08,1356.6108,83.386978,18.296829,24.404325
2000-08-09,1472.87,6.07,1337.5569,83.299309,18.296829,24.484589
2000-08-10,1460.25,6.07,1315.6454,84.000786,18.296829,24.734226
2000-08-11,1471.84,6.11,1320.4087,84.614594,18.064247,24.848724
2000-08-14,1491.5601,6.09,1336.6045,86.455917,17.986717,25.211338
2000-08-15,1484.4301,6.1,1322.3143,85.579063,17.637835,24.829638
2000-08-16,1479.85,6.09,1313.7404,85.842117,17.560303,25.273359
2000-08-17,1496.0699,6.09,1333.7466,85.929794,16.785011,25.593039
2000-08-18,1491.72,6.09,1325.1726,84.483078,17.211422,25.321056
2000-08-21,1499.48,6.09,1340.4152,85.184525,16.901306,25.497618
2000-08-22,1498.13,6.1,1331.8414,85.140671,17.36648,25.383106
2000-08-23,1505.97,6.11,1313.7404,86.455917,16.978836,25.802986
2000-08-24,1508.3101,6.11,1290.8756,87.551987,17.211422,25.325848
2000-08-25,1506.45,6.13,1288.9706,90.489357,17.133883,25.325848
2000-08-28,1514.09,6.14,1320.4087,92.243027,16.242315,25.287685
2000-08-29,1509.84,6.13,1313.7404,93.207573,15.660843,25.197016
2000-08-30,1502.59,6.14,1333.7753,91.410019,16.048491,24.843933
2000-08-31,1517.6801,6.13,1358.7828,92.604675,15.001855,24.929834
2000-09-01,1520.77,6.09,1349.0179,93.733643,15.505784,25.192255
2000-09-05,1507.08,6.07,1350.9237,92.023834,16.358608,25.459448
2000-09-06,1492.25,6.03,1337.5859,92.199181,16.16478,25.34494
2000-09-07,1502.51,6.02,1323.2958,93.558281,16.048491,25.573956
2000-09-08,1494.5,5.97,1353.7821,90.84008,16.126022,25.497618
2000-09-11,1489.26,5.95,1395.7003,87.332733,16.126022,25.950857
2000-09-12,1481.99,5.92,1413.5621,87.683434,15.544552,26.184677
2000-09-13,1484.91,5.92,1398.5584,89.568687,15.69961,26.203753
2000-09-14,1480.87,5.97,1402.3693,88.998756,16.048491,26.036755
2000-09-15,1465.8101,5.97,1375.6937,87.683434,16.048491,26.871731
2000-09-18,1444.51,5.97,1347.1128,86.455917,16.126022,27.372726
2000-09-19,1459.9,5.99,1373.7887,87.639664,15.970957,26.871731
2000-09-20,1451.34,5.98,1349.9711,87.508133,15.544552,26.413694
2000-09-21,1449.05,5.98,1351.8756,85.228325,15.389486,26.356438
2000-09-22,1448.72,5.99,1393.795,86.894341,15.893432,26.413694
2000-09-25,1439.03,5.99,1409.0377,86.280533,15.777132,26.218063
2000-09-26,1427.21,6,1406.1802,83.562363,15.11814,26.45188
2000-09-27,1426.5699,6.02,1419.5176,82.773186,15.350725,27.253437
2000-09-28,1458.29,6.07,1444.2882,80.844193,15.544552,27.220036
2000-09-29,1436.51,6.05,1458.5779,79.002831,15.8159,27.210466
2000-10-02,1436.23,6.03,1471.9164,82.641716,16.16478,27.921417
